Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Brazil,BRA,AME,38,94,35,106,40.0,79.0,56.388,56.165,14446.413,14651.616,0.758,0.765,10.774,14.983
Sri Lanka,LKA,AP,38,94,38,93,36.0,95.0,52.671,51.652,12287.473,13078.098,0.773,0.782,5.778,5.333
Peru,PER,AME,38,94,36,101,35.0,101.0,72.592,75.063,12403.689,12847.885,0.765,0.777,27.692,30.0
Ethiopia,ETH,SSA,38,94,37,96,34.0,108.0,78.164,77.895,1894.897,2219.709,0.467,0.485,37.286,37.286
Tanzania,TZA,SSA,38,94,37,96,32.0,116.0,82.023,81.761,2441.565,2660.42,0.52,0.529,36.559,36.896
Kazakhstan,KAZ,ECA,38,94,34,113,29.0,131.0,66.647,65.601,24210.863,26351.439,0.808,0.825,20.779,22.078
Indonesia,IDN,AP,37,102,40,85,37.0,90.0,63.334,64.333,10531.198,11812.198,0.703,0.718,17.117,17.391
Gambia,GMB,SSA,37,102,37,96,26.0,145.0,53.679,54.021,2036.872,2206.913,0.475,0.496,9.434,10.345
Albania,ALB,ECA,36,104,35,106,39.0,83.0,47.055,48.86,12547.928,13961.797,0.788,0.795,22.857,29.508
El Salvador,SLV,AME,36,104,34,113,36.0,95.0,56.892,56.668,8309.63,8775.987,0.671,0.673,32.143,30.952
Thailand,THA,AP,36,104,36,101,35.0,101.0,67.598,66.818,16797.772,18463.094,0.756,0.777,6.091,14.133
Algeria,DZA,MENA,36,104,35,106,34.0,108.0,37.2,36.333,11637.898,11349.701,0.743,0.748,25.785,21.549
Cote d'Ivoire,CIV,SSA,36,104,35,106,34.0,108.0,55.703,55.064,4615.712,5238.261,0.513,0.538,9.163,13.277
Vietnam,VNM,AP,36,104,37,96,33.0,113.0,76.074,75.888,6767.902,8041.179,0.693,0.704,26.721,26.721
Bosnia and Herzegovina,BIH,ECA,35,111,36,101,39.0,83.0,34.882,37.847,13363.915,14894.787,0.772,0.78,19.298,21.053
Mongolia,MNG,AP,35,111,35,106,38.0,87.0,54.999,56.089,10940.415,12309.771,0.729,0.737,17.105,17.333
Panama,PAN,AME,35,111,36,101,38.0,87.0,63.212,63.991,29337.881,31458.693,0.805,0.815,18.31,21.127
North Macedonia,MKD,ECA,35,111,35,106,37.0,90.0,41.935,45.309,15371.957,16506.085,0.765,0.774,33.333,39.167
Philippines,PHL,AP,34,115,34,113,35.0,101.0,60.47,58.339,7705.045,8908.176,0.704,0.718,29.43,28.049
Moldova,MDA,ECA,34,115,32,120,30.0,123.0,41.0,40.728,10942.551,13033.864,0.738,0.75,21.782,25.743
Zambia,ZMB,SSA,33,117,34,113,38.0,87.0,66.873,66.091,3467.872,3479.492,0.571,0.584,17.964,17.964
Egypt,EGY,MENA,33,117,35,106,34.0,108.0,41.779,41.419,10795.809,11763.254,0.696,0.707,14.933,14.933
Sierra Leone,SLE,SSA,33,117,33,119,30.0,123.0,55.43,55.333,1610.553,1718.371,0.431,0.452,12.397,12.329
Nepal,NPL,AP,33,117,34,113,29.0,131.0,82.18,82.626,2902.249,3416.791,0.586,0.602,29.58,33.533
Ukraine,UKR,ECA,33,117,30,126,29.0,131.0,49.436,49.341,11534.638,12810.289,0.768,0.779,12.019,20.519
Eswatini,SWZ,SSA,33,117,34,113,,,39.917,40.91,8405.799,8688.101,0.588,0.611,14.737,12.121
Niger,NER,SSA,32,123,32,120,35.0,101.0,72.054,71.7,1149.663,1219.077,0.378,0.394,14.62,16.959
Bolivia,BOL,AME,31,124,31,123,33.0,113.0,65.323,69.301,8202.551,8724.476,0.702,0.718,51.807,51.807
Pakistan,PAK,AP,31,124,32,120,32.0,116.0,50.826,50.232,4421.67,4690.485,0.542,0.557,20.045,20.0
Mexico,MEX,AME,31,124,29,130,30.0,123.0,58.33,58.602,19612.229,19746.436,0.768,0.779,40.605,48.408
Kyrgyzstan,KGZ,ECA,31,124,30,126,28.0,136.0,57.131,56.044,4912.382,5253.097,0.691,0.697,19.167,19.167
Kenya,KEN,SSA,31,124,28,137,26.0,145.0,72.963,72.722,3952.746,4329.871,0.591,0.601,20.813,23.261
Gabon,GAB,SSA,30,129,31,123,35.0,101.0,41.369,42.314,15358.721,14869.791,0.69,0.703,15.982,17.949
Mali,MLI,SSA,30,129,29,130,32.0,116.0,65.636,65.697,2197.631,2327.371,0.422,0.434,8.844,9.524
Malawi,MWI,SSA,30,129,31,123,31.0,120.0,72.596,72.381,1024.601,1059.723,0.472,0.483,16.667,22.917
Azerbaijan,AZE,ECA,30,129,30,126,30.0,123.0,62.949,62.838,14238.784,14403.85,0.751,0.756,16.8,16.807
Russia,RUS,ECA,30,129,28,137,29.0,131.0,59.283,58.968,25568.908,27043.935,0.815,0.824,13.871,16.452
Togo,TGO,SSA,29,134,29,130,32.0,116.0,76.4,76.011,1489.684,1595.929,0.502,0.515,17.582,16.484
Laos,LAO,AP,29,134,29,130,30.0,123.0,77.932,77.982,6896.129,7826.389,0.605,0.613,27.517,27.517
Mauritania,MRT,SSA,29,134,28,137,27.0,142.0,41.321,41.503,5045.894,5197.029,0.542,0.546,22.167,20.261
Liberia,LBR,SSA,28,137,28,137,37.0,90.0,74.393,74.167,1516.356,1427.819,0.478,0.48,10.68,11.65
Dominican Republic,DOM,AME,28,137,28,137,31.0,120.0,59.437,60.562,16166.604,18419.034,0.743,0.756,24.324,24.324
Paraguay,PRY,AME,28,137,28,137,30.0,123.0,66.684,68.627,12157.305,12684.596,0.722,0.728,16.8,16.8
Myanmar,MMR,AP,28,137,29,130,28.0,136.0,63.117,60.693,4482.925,5142.154,0.563,0.583,10.046,11.568
Guinea,GIN,SSA,28,137,29,130,27.0,142.0,59.296,58.89,2255.308,2564.042,0.465,0.477,21.93,22.807
Djibouti,DJI,SSA,27,142,30,126,30.0,123.0,54.061,54.041,4709.549,5519.333,0.505,0.524,12.727,26.154
Papua New Guinea,PNG,AP,27,142,28,137,28.0,136.0,46.102,46.032,4289.048,4387.602,0.549,0.555,2.703,0.1
